1,0,0,1,-1,0.5849,0.0,0.0,2.0,1,2 1
1,1,1,1,-1,0.4583,0.1508,0.0128,2.0,1,0 0
1,1,0,1,1,0.3,0.0,0.0066,2.0,1,2 1
1,1,0,0,-1,0.2583,0.2358,0.012,2.0,1,2 1
1,0,0,1,-1,0.6,0.0,0.0141,2.0,1,2 1
1,1,2,1,1,0.5417,0.4196,0.0267,2.0,1,2 1
1,1,0,0,-1,0.2333,0.1516,0.0095,2.0,1,2 1
1,1,3+,1,-1,0.3036,0.2504,0.0158,2.0,0,1 0
1,1,2,1,-1,0.4006,0.1526,0.0168,2.0,1,2 1
1,1,1,1,-1,1.2841,1.0968,0.0349,2.0,1,1 0
1,1,2,1,-1,0.32,0.07,0.007,2.0,1,2 1
1,1,2,1,-1,0.25,0.184,0.0109,2.0,1,2 1
1,1,2,1,-1,0.3073,0.8106,0.02,2.0,1,2 1
1,0,0,1,-1,0.1853,0.284,0.0114,2.0,1,0 0
1,1,2,1,-1,0.1299,0.1086,0.0017,0.6666666666666666,1,2 1
1,0,0,1,-1,0.495,0.0,0.0125,2.0,1,2 1
1,0,1,0,-1,0.3596,0.0,0.01,1.3333333333333333,0,2 1
0,0,0,1,-1,0.351,0.0,0.0076,2.0,0,2 0
1,1,0,0,-1,0.4887,0.0,0.0133,2.0,1,0 0
1,1,0,1,-1,0.26,0.35,0.0115,0.0,1,2 1
1,1,0,0,-1,0.766,0.0,0.0104,2.0,0,2 0
1,1,1,1,-1,0.5955,0.5625,0.0315,2.0,1,2 1
1,1,0,0,-1,0.26,0.1911,0.0116,2.0,0,1 0
0,1,2,0,-1,0.3365,0.1917,0.0112,2.0,0,0 0
1,1,1,1,-1,0.3717,0.2925,0.0151,2.0,0,1 0
1,1,0,1,1,0.956,0.0,0.0191,2.0,1,1 1
1,1,0,1,-1,0.2799,0.2253,0.0122,2.0,1,1 1
1,1,2,0,-1,0.4226,0.104,0.011,2.0,1,2 1
1,0,0,0,-1,0.1442,0.0,0.0035,2.0,1,2 0
0,0,2,1,-1,0.375,0.2083,0.012,2.0,1,1 1
1,1,1,1,-1,0.4166,0.3369,0.0201,2.0,0,2 0
1,0,0,1,-1,0.3167,0.0,0.0074,2.0,1,2 0
1,0,1,1,1,0.4692,0.0,0.0106,2.0,1,0 0
1,1,0,1,-1,0.35,0.1667,0.0114,2.0,1,1 1
1,0,3+,1,-1,1.25,0.3,0.032,2.0,1,0 0
1,1,0,1,-1,0.2275,0.2067,0.0,2.0,1,2 1
1,1,0,1,-1,0.1828,0.133,0.01,0.0,0,2 0
0,1,0,1,-1,0.3667,0.1459,0.0144,2.0,1,1 1
1,0,0,1,-1,0.4166,0.721,0.0184,2.0,1,2 1
1,0,0,0,-1,0.3748,0.1668,0.011,2.0,1,1 1
1,0,0,1,-1,0.36,0.0,0.008,2.0,1,2 0
1,0,0,1,-1,0.18,0.1213,0.0047,2.0,1,2 1
1,1,0,1,-1,0.24,0.0,0.0075,2.0,0,2 1
1,1,0,1,-1,0.3941,0.2336,0.0134,2.0,1,1 1
1,1,0,0,1,0.4695,0.0,0.0096,0.0,1,2 1
0,0,0,1,-1,0.341,0.0,0.0088,0.0,1,2 1
1,1,1,1,-1,0.5649,0.0,0.0044,2.0,1,2 1
1,1,0,1,-1,0.5821,0.0,0.0144,2.0,1,2 1
0,1,0,1,-1,0.2645,0.344,0.012,2.0,0,2 0
0,0,0,1,-1,0.4,0.2275,0.0144,2.0,1,1 1
0,1,0,0,-1,0.1928,0.1644,0.01,2.0,1,1 1
0,0,0,1,-1,0.3086,0.0,0.012,2.0,1,1 1
0,0,0,1,-1,0.423,0.0,0.0112,2.0,1,1 0
1,1,2,1,-1,0.4616,0.0,0.0134,2.0,1,2 0
0,1,1,1,1,1.15,0.0,0.0286,2.0,0,2 0
1,1,2,1,-1,0.2708,0.1167,0.0097,2.0,1,1 1
1,1,0,1,-1,0.2132,0.1591,0.0096,2.0,1,1 1
1,1,0,1,-1,0.3366,0.22,0.0135,2.0,1,0 0
1,1,1,1,-1,0.808,0.225,0.018,2.0,1,2 1
1,1,2,0,-1,0.3357,0.2859,0.0144,2.0,1,2 1
1,1,0,1,-1,0.25,0.3796,0.012,2.0,1,2 1
1,1,3+,1,-1,0.3029,0.0,0.0099,2.0,1,2 1
1,1,0,0,1,0.2609,0.3449,0.0165,1.0,0,0 0
1,1,1,1,-1,0.4945,0.0,0.0,2.0,0,0 0
0,0,0,1,-1,0.4166,0.0,0.0116,2.0,0,1 0
1,1,0,1,-1,0.5726,0.4595,0.0258,2.0,1,1 0
